ImageId,Label
1,0
2,0
3,0
4,6
5,6
6,0
7,0
8,4
9,0
10,0
11,0
12,0
13,4
14,0
15,6
16,0
17,0
18,1
19,4
20,0
21,4
22,1
23,0
24,0
25,4
26,4
27,6
28,4
29,1
30,4
31,0
32,0
33,4
34,0
35,6
36,0
37,6
38,6
39,4
40,0
41,4
42,4
43,6
44,4
45,0
46,7
47,6
48,0
49,6
50,6
51,6
52,0
53,6
54,0
55,4
56,0
57,6
58,6
59,0
60,0
61,4
62,6
63,0
64,0
65,0
66,0
67,4
68,0
69,0
70,6
71,0
72,0
73,0
74,4
75,6
76,0
77,0
78,4
79,0
80,0
81,4
82,4
83,0
84,0
85,4
86,6
87,0
88,4
89,6
90,4
91,0
92,6
93,6
94,0
95,0
96,6
97,0
98,0
99,4
100,4
101,0
102,1
103,6
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,6
114,6
115,1
116,0
117,6
118,6
119,0
120,0
121,0
122,4
123,0
124,1
125,6
126,0
127,0
128,4
129,6
130,6
131,0
132,0
133,6
134,0
135,0
136,0
137,0
138,1
139,0
140,6
141,0
142,0
143,6
144,0
145,6
146,0
147,4
148,0
149,0
150,6
151,0
152,4
153,6
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,1
166,6
167,0
168,0
169,0
170,6
171,0
172,0
173,4
174,0
175,1
176,4
177,0
178,6
179,6
180,0
181,6
182,6
183,0
184,6
185,6
186,4
187,0
188,1
189,6
190,0
191,6
192,0
193,6
194,0
195,6
196,0
197,4
198,4
199,0
200,4
201,4
202,4
203,0
204,4
205,6
206,0
207,0
208,6
209,0
210,6
211,0
212,6
213,0
214,6
215,0
216,0
217,1
218,1
219,0
220,6
221,6
222,0
223,4
224,0
225,6
226,6
227,4
228,0
229,1
230,0
231,0
232,6
233,4
234,6
235,0
236,0
237,0
238,0
239,6
240,4
241,0
242,6
243,0
244,0
245,4
246,0
247,6
248,0
249,6
250,0
251,7
252,0
253,4
254,4
255,0
256,6
257,0
258,6
259,6
260,0
261,0
262,0
263,0
264,4
265,4
266,0
267,0
268,0
269,0
270,6
271,6
272,0
273,6
274,4
275,0
276,0
277,6
278,0
279,0
